run; iterations; problem; colony size; Fitness; Total Time 
 10; 50; 4; 8192; 6120; 0.31362
 10; 50; 4; 8192; 6120; 0.31409
 10; 50; 4; 8192; 6120; 0.31371
 10; 50; 4; 8192; 6120; 0.31379
 10; 50; 4; 8192; 6120; 0.31404
 10; 50; 4; 8192; 6120; 0.31446
 10; 50; 3; 1024; 4015; 0.25299
 10; 50; 3; 1024; 4015; 0.20146
 10; 50; 3; 1024; 4015; 0.19453
 10; 50; 3; 1024; 4015; 0.19471
 10; 50; 3; 1024; 4015; 0.19459
 10; 50; 3; 1024; 4015; 0.19380
 10; 50; 3; 1024; 4015; 0.19397
 10; 50; 3; 1024; 4015; 0.19421
 10; 50; 3; 1024; 4015; 0.19407
 10; 50; 3; 1024; 4015; 0.19376
 10; 50; 3; 2048; 4015; 0.19582
 10; 50; 3; 2048; 4015; 0.19603
 10; 50; 3; 2048; 4015; 0.19614
 10; 50; 3; 2048; 4015; 0.19619
 10; 50; 3; 2048; 4015; 0.19616
 10; 50; 3; 2048; 4015; 0.19746
 10; 50; 3; 2048; 4015; 0.19764
 10; 50; 3; 2048; 4015; 0.19778
 10; 50; 3; 2048; 4015; 0.19742
 10; 50; 3; 2048; 4015; 0.19787
 10; 50; 3; 4096; 4015; 0.20367
 10; 50; 3; 4096; 4015; 0.20401
 10; 50; 3; 4096; 4015; 0.20363
 10; 50; 3; 4096; 4015; 0.20299
 10; 50; 3; 4096; 4015; 0.20310
 10; 50; 3; 4096; 4015; 0.20219
 10; 50; 3; 4096; 4015; 0.20251
 10; 50; 3; 4096; 4015; 0.20275
 10; 50; 3; 4096; 4015; 0.20249
 10; 50; 3; 4096; 4015; 0.20274
 10; 50; 3; 8192; 4015; 0.21290
 10; 50; 3; 8192; 4015; 0.21258
 10; 50; 3; 8192; 4015; 0.21265
 10; 50; 3; 8192; 4015; 0.21263
 10; 50; 3; 8192; 4015; 0.21257
 10; 50; 3; 8192; 4015; 0.21288
 10; 50; 3; 8192; 4015; 0.21259
 10; 50; 3; 8192; 4015; 0.21297
 10; 50; 3; 8192; 4015; 0.21265
 10; 50; 3; 8192; 4015; 0.21225
