run; iterations; problem; colony size; Fitness; Total Time 

 ACO - Begin Of Execution
 run;	iter;	prob;	col size;	Fitness;	Total Time ;
 7;	50;	1;	4096;		3800.000000,	0.032775 ;
 8;	50;	1;	4096;		3800.000000,	0.032844 ;
 9;	50;	1;	4096;		3800.000000,	0.032992 ;
 0;	50;	1;	8192;		3800.000000,	0.058264 ;
 1;	50;	1;	8192;		3800.000000,	0.058227 ;
 2;	50;	1;	8192;		3800.000000,	0.058389 ;
 3;	50;	1;	8192;		3800.000000,	0.058417 ;
 4;	50;	1;	8192;		3800.000000,	0.058246 ;
 5;	50;	1;	8192;		3800.000000,	0.058595 ;
 6;	50;	1;	8192;		3800.000000,	0.058507 ;
 7;	50;	1;	8192;		3800.000000,	0.058095 ;
 8;	50;	1;	8192;		3800.000000,	0.058633 ;
 9;	50;	1;	8192;		3800.000000,	0.058885 ;
 End Of Execution 
